Wavelength [nm] , Vis Channel % Throughput , IR Channel % throughput
      300.000,  4.01420e-08,      0.00000
      305.000,  3.21376e-07,      0.00000
      310.000,  1.39065e-06,      0.00000
      315.000,  2.56297e-06,      0.00000
      320.000,  3.37731e-06,      0.00000
      325.000,  9.57130e-06,      0.00000
      330.000,  1.53977e-05,      0.00000
      335.000,   0.00103693,      0.00000
      340.000,     0.469563,      0.00000
      345.000,     0.907635,      0.00000
      350.000,      3.64681,      0.00000
      355.000,      8.88970,      0.00000
      360.000,      15.3593,      0.00000
      365.000,      24.2463,      0.00000
      370.000,      32.5480,      0.00000
      375.000,      36.0919,      0.00000
      380.000,      39.9235,      0.00000
      385.000,      43.3063,      0.00000
      390.000,      45.9798,      0.00000
      395.000,      47.6843,      0.00000
      400.000,      49.0967,      0.00000
      405.000,      51.6652,      0.00000
      410.000,      53.6769,      0.00000
      415.000,      55.2575,      0.00000
      420.000,      56.4531,      0.00000
      425.000,      57.5234,      0.00000
      430.000,      58.4824,      0.00000
      435.000,      59.3465,      0.00000
      440.000,      59.9939,      0.00000
      445.000,      60.3026,      0.00000
      450.000,      60.7746,      0.00000
      455.000,      60.9687,      0.00000
      460.000,      61.0630,      0.00000
      465.000,      61.1331,      0.00000
      470.000,      61.2637,      0.00000
      475.000,      61.4324,      0.00000
      480.000,      61.5006,      0.00000
      485.000,      61.6285,      0.00000
      490.000,      61.7428,      0.00000
      495.000,      61.8475,      0.00000
      500.000,      61.9441,      0.00000
      505.000,      61.8929,      0.00000
      510.000,      61.8226,      0.00000
      515.000,      61.7964,      0.00000
      520.000,      61.7701,      0.00000
      525.000,      61.7297,      0.00000
      530.000,      61.6891,      0.00000
      535.000,      61.6474,      0.00000
      540.000,      61.6015,      0.00000
      545.000,      61.5552,      0.00000
      550.000,      61.5206,      0.00000
      555.000,      61.5760,      0.00000
      560.000,      61.6293,      0.00000
      565.000,      61.6624,      0.00000
      570.000,      61.6486,      0.00000
      575.000,      61.6363,      0.00000
