x	y
369.434	0.505
384.903	0.534
398.201	0.552
414.552	0.597
424.769	0.626
437.877	0.654
452.328	0.672
468.689	0.684
488.771	0.691
503.726	0.697
532.060	0.693
557.718	0.692
594.251	0.682
623.324	0.672
652.487	0.657
691.244	0.639
729.497	0.619
760.759	0.595
788.310	0.572
807.301	0.559
830.257	0.552
853.041	0.552
880.700	0.563
910.601	0.590
939.215	0.617
968.188	0.643
999.694	0.641
1028.478	0.646
1071.182	0.650
1120.526	0.655
1163.427	0.659
1208.158	0.664
1238.601	0.667
1276.854	0.673
1315.449	0.679
1351.432	0.686
1396.695	0.691
1447.192	0.700
1486.634	0.705
1530.239	0.712
1582.591	0.719
1631.719	0.725
1670.035	0.730
1714.667	0.737
1749.731	0.741
1800.489	0.746
