HIP,RA,Dec,Umag,Bmag,Vmag,Rmag,Imag,Jmag,Hmag,Kmag,M_V,dist (pc),Type,Lstar (Lsun),Angdiam (mas), Mass (Msun), WDS_sep, WDS_dmag, Detection Coronagraph ID,Characterization Coronagraph ID, EEID (mas),nexozodis (zodis),Total BB Imaging Time (days),Total Spec Char Time (days),Total EEC Yield,Total HZ Completeness
544,1.65327,29.0215,          NaN,6.822,6.07,5.6,5.27,4.733,4.629,4.314,5.37398,13.7786,K0V,0.668409,0.596112,0.891276,192.9,4.19,2,1,59.3357,2.46515,1.65,0.347042,0.23726,0.956376
910,2.81607,-15.468,5.35,5.377,4.89,          NaN,4.3,3.94,3.68,3.63,3.61487,17.9898,F5V,2.99538,0.746612,1.36814,          NaN,          NaN,3,1,96.2054,1.97908,1.38119,0.543953,0.190215,0.766742
950,2.93337,-35.1331,          NaN,5.699,5.24,          NaN,4.71,4.41,4.159,4.13,3.56291,21.648,F3/F5V,3.1191,0.614388,1.38405,          NaN,          NaN,2,1,81.5825,2.72662,2.95483,1.18639,0.186827,0.753085
1292,4.05282,-79.8512,7.692,7.339,6.59,6.6,5.8,5.366,4.99,4.859,5.36678,17.5648,G6V,0.671218,0.467376,0.892344,3.9,5.04,2,1,46.6432,10.9041,2.14649,1.23933,0.119315,0.480951
1475,4.59536,44.023,10.3,9.65,8.09,7.3,5.61,5.25,4.48,4.02,10.3311,3.56265,M1V,0.0397541,1.14448,0.397945,34.3,3.05,2,1,55.9652,264.381,1.78649,0.110515,0.233136,0.939752
1599,5.01775,-64.8748,4.82,4.806,4.23,3.73,3.58,3.19,2.88,2.83,4.57404,8.53476,F9V,1.28056,1.12392,1.07321,          NaN,          NaN,3,2,132.589,1.25115,0.791689,0.0778631,0.246006,0.991629
2021,6.4378,-77.2542,3.52,3.438,2.82,2.28,2.14,1.72,1.4,1.34,3.45666,7.45879,G2IV,3.6453,2.2606,1.44709,          NaN,          NaN,3,3,255.975,1.11589,0.513106,0.016258,0.114382,0.461065
3093,9.84086,21.2505,7.29,6.73,5.88,5.21,5.05,4.47,4.03,3.999,5.64612,11.1372,K0V,0.560743,0.741515,0.847653,172,5.51,2,1,67.2366,4.45846,1.36369,0.227854,0.241406,0.973087
3497,11.1636,-65.6495,7.31,7.205,6.55,          NaN,5.83,5.366,5.101,4.945,4.83494,22.0298,G3V,1.03204,0.423986,1.00905,          NaN,          NaN,2,1,46.1145,0.556068,2.67741,1.52539,0.17205,0.693521
3505,11.185,-22.0061,          NaN,5.57,5.22,          NaN,4.8,4.334,4.469,4.359,3.04339,27.2472,F0V,4.89513,0.539759,1.57426,          NaN,          NaN,2,1,81.2008,0.123055,2.57494,0.830699,0.146233,0.589456
