HIP,dist (pc),Type,nexozodis (zodis),Visit #,Visit dt (years),Exp Time (days),Spec char time (days),exoEarth candidate yield,Hot Rocky yield, Warm Rocky yield, Cold Rocky yield, Hot SuperEarth yield, Warm SuperEarth yield, Cold SuperEarth yield, Hot Sub-Neptune yield, Warm Sub-Neptune yield, Cold Sub-Neptune yield,Hot Neptune yield, Warm Neptune yield, Cold Neptune yield, Hot Jupiter yield, Warm Jupiter yield, Cold Jupiter yield
54035,      2.54686,M2V,      1.78908,1,      0.00000,     0.169369,    0.0139356,     0.194687,    0.0988135,     0.234034,     0.149351,    0.0889634,     0.189295,     0.169113,     0.112208,     0.196703,     0.280737,    0.0292252,    0.0683385,     0.141802,    0.0403459,    0.0934044,     0.190763
104214,      3.49717,K5V,      10.2321,1,      0.00000,     0.169658,    0.0165028,     0.191742,    0.0951136,     0.230350,     0.154057,    0.0868041,     0.188626,     0.172632,     0.110423,     0.196805,     0.286553,    0.0289260,    0.0685689,     0.144975,    0.0406209,    0.0938135,     0.193981
1599,      8.53476,F9V,      1.25115,1,      0.00000,     0.138950,    0.0422767,     0.150522,     0.135808,     0.130217,    0.0183347,     0.117912,     0.171897,    0.0566525,     0.115507,     0.202857,     0.136072,    0.0291451,    0.0715061,    0.0728384,    0.0391556,    0.0969296,     0.107020
61317,      8.61105,G0V,      2.56568,1,      0.00000,     0.148993,    0.0491628,     0.149340,     0.132122,     0.128080,    0.0175421,     0.116951,     0.171406,    0.0571405,     0.115756,     0.202704,     0.137291,    0.0292638,    0.0715392,    0.0737251,    0.0393292,    0.0969875,     0.108204
3821,      5.83819,G0VSB,     0.732871,1,      0.00000,     0.100513,    0.0101377,    0.0986867,     0.238550,     0.106975,    0.0104291,     0.197017,     0.113851,    0.0225156,     0.196616,     0.169334,    0.0427362,    0.0439645,    0.0646429,    0.0247187,    0.0509004,    0.0893699,    0.0435126
104217,      3.49472,K7V,      4.53856,1,      0.00000,     0.205931,    0.0159297,     0.197849,     0.201880,     0.210717,    0.0535890,     0.162773,     0.188222,    0.0585745,     0.178393,     0.211880,     0.120540,    0.0412956,    0.0737867,    0.0643108,    0.0495169,    0.0991687,    0.0968931
64394,      9.18315,G0V,      2.70214,1,      0.00000,     0.148977,    0.0559292,     0.141740,     0.126220,     0.113281,    0.0132411,     0.115610,     0.167285,    0.0539233,     0.113541,     0.201729,     0.133299,    0.0286844,    0.0714381,    0.0721540,    0.0386837,    0.0969051,     0.106200
108870,      3.63895,K5V,      41.2435,1,      0.00000,     0.201447,    0.0214264,     0.187598,     0.157449,     0.214831,    0.0661351,     0.136711,     0.190978,    0.0844185,     0.160630,     0.207648,     0.168566,    0.0382332,    0.0724783,    0.0895435,    0.0478098,    0.0978585,     0.128995
114046,      3.28711,M2/M3V,      5.65907,1,      0.00000,     0.200010,    0.0147359,     0.186070,    0.0934704,     0.216859,     0.129510,    0.0831735,     0.185589,     0.159613,     0.100518,     0.195997,     0.274334,    0.0271953,    0.0680757,     0.139128,    0.0385235,    0.0931870,     0.188586
14632,      10.5088,G0V,     0.497077,1,      0.00000,     0.124158,    0.0465723,     0.112973,     0.129672,    0.0708170,   0.00201424,     0.127847,     0.145721,    0.0353592,     0.123719,     0.201221,    0.0899492,    0.0297087,    0.0719527,    0.0525062,    0.0392455,    0.0977438,    0.0817393
96100,      5.77232,K0V,     0.830024,1,      0.00000,     0.188763,    0.0209324,     0.168827,     0.121280,     0.218295,    0.0959981,    0.0997064,     0.189939,     0.119584,     0.109660,     0.201295,     0.219447,    0.0288106,    0.0700521,     0.112183,    0.0396288,    0.0953948,     0.155969
99240,      6.09561,G5IV-Vvar,      2.17188,1,      0.00000,     0.109855,    0.0111181,    0.0963953,     0.231364,     0.102069,   0.00887808,     0.194700,     0.112216,    0.0219817,     0.195627,     0.168488,    0.0419123,    0.0437164,    0.0645247,    0.0244626,    0.0507704,    0.0891626,    0.0432103
91768,      3.52176,K5,      1.50178,1,      0.00000,     0.200473,     0.131663,     0.164050,    0.0556737,     0.183760,     0.110142,    0.0528296,     0.171713,     0.195318,    0.0631559,     0.185895,     0.332724,    0.0242125,    0.0664109,     0.175813,    0.0365928,    0.0929535,     0.228174
105090,      3.97094,M1/M2V,      10.7658,1,      0.00000,     0.230713,    0.0176763,     0.185609,     0.130715,     0.211019,    0.0852608,     0.111852,     0.188037,     0.107432,     0.127300,     0.203407,     0.200259,    0.0323385,    0.0708594,     0.104535,    0.0423763,    0.0960601,     0.147221
12777,      11.1488,F7V,      2.17284,1,      0.00000,     0.136286,    0.0686786,     0.109267,     0.112739,    0.0640594,   0.00133508,     0.118381,     0.147800,    0.0380380,     0.115339,     0.199563,     0.103452,    0.0281694,    0.0714695,    0.0588600,    0.0379500,    0.0971915,    0.0907784
15457,      9.14571,G5Vvar,     0.532629,1,      0.00000,     0.203863,    0.0530713,     0.160922,    0.0723689,     0.160161,    0.0498427,    0.0627281,     0.172924,     0.134317,    0.0624582,     0.190608,     0.262402,    0.0181273,    0.0665601,     0.135442,    0.0300861,    0.0916319,     0.183105
23693,      11.6247,F7V,     0.357610,1,      0.00000,     0.169893,    0.0810628,     0.133674,    0.0650068,     0.105100,    0.0142930,    0.0639460,     0.160852,     0.100676,    0.0577711,     0.189618,     0.230981,    0.0158438,    0.0665743,     0.121753,    0.0276822,    0.0915674,     0.167880
77257,      11.8186,G0Vvar,     0.932831,1,      0.00000,     0.155331,    0.0684932,     0.116405,    0.0879845,    0.0758612,   0.00307433,    0.0926430,     0.154865,    0.0616140,    0.0866175,     0.196017,     0.154660,    0.0221343,    0.0695765,    0.0851032,    0.0327618,    0.0949461,     0.123700
27072,      8.88013,F7V,      4.73721,1,      0.00000,     0.113906,    0.0272693,    0.0847934,     0.167446,    0.0634956,   0.00115597,     0.165911,     0.116847,    0.0210250,     0.167637,     0.177823,    0.0465348,    0.0385353,    0.0681825,    0.0275458,    0.0465080,    0.0942909,    0.0485918
80686,      12.1768,F9V,    0.0680988,1,      0.00000,     0.188452,     0.101651,     0.137301,    0.0450254,     0.108175,    0.0167674,    0.0462700,     0.158831,     0.121373,    0.0413667,     0.183183,     0.271088,    0.0121297,    0.0641723,     0.142352,    0.0237169,    0.0891264,     0.193081
70890,      1.30124,M5Ve,      2.42113,1,      0.00000,     0.208567,    0.0134997,     0.151309,   0.00426787,     0.180263,     0.234707,    0.0172373,     0.153662,     0.327392,    0.0636846,     0.169117,     0.484723,    0.0244921,    0.0634991,     0.274129,    0.0310653,    0.0906753,     0.311079
109176,      11.7975,F5V,     0.963083,1,      0.00000,     0.110253,    0.0427597,    0.0799777,     0.120825,    0.0330036,  2.00958e-05,     0.140695,     0.118257,    0.0199987,     0.140578,     0.187403,    0.0566319,    0.0324082,    0.0712036,    0.0339872,    0.0412820,    0.0978979,    0.0582107
64924,      8.50535,G5V,      2.55783,1,      0.00000,     0.215293,    0.0506300,     0.155952,    0.0881724,     0.163493,    0.0485263,    0.0770128,     0.175261,     0.117638,    0.0786617,     0.195124,     0.234823,    0.0218585,    0.0681614,     0.121122,    0.0334813,    0.0933164,     0.167280
12114,      7.23545,K3V,     0.258520,1,      0.00000,     0.248647,    0.0261080,     0.177852,     0.133233,     0.190501,    0.0578477,     0.108874,     0.185453,    0.0910485,     0.112995,     0.203216,     0.181231,    0.0293124,    0.0709044,    0.0951876,    0.0395765,    0.0962162,     0.136703
3765,      7.43500,K2V,     0.348517,1,      0.00000,     0.253639,    0.0307926,     0.179590,     0.137600,     0.194769,    0.0599267,     0.111174,     0.186424,    0.0882592,     0.115209,     0.203701,     0.177158,    0.0297051,    0.0710488,    0.0927296,    0.0399257,    0.0963781,     0.133534
63721,      4.61638,F3V,      4.33235,1,      0.00000,     0.192982,     0.287308,     0.131449,    0.0518574,     0.142491,     0.262827,    0.0888872,     0.167505,     0.414244,    0.0756923,     0.192415,     0.634736,    0.0147549,    0.0682039,     0.421021,    0.0159038,    0.0924543,     0.501874
16537,      3.20288,K2V,      297.000,1,      0.00000,     0.188477,    0.0241610,     0.125453,     0.228593,     0.121292,    0.0129308,     0.210333,     0.127178,    0.0253440,     0.232649,     0.182028,    0.0512770,    0.0500148,    0.0694904,    0.0301474,    0.0563338,    0.0936528,    0.0517884
8102,      3.60339,G8V,      146.257,1,      0.00000,     0.171853,    0.0188689,     0.113247,     0.244537,     0.113703,    0.0125782,     0.219186,     0.115271,    0.0228903,     0.238894,     0.170513,    0.0442671,    0.0505836,    0.0658065,    0.0260762,    0.0566288,    0.0896700,    0.0449938
51459,      12.9141,F8V,     0.787925,1,      0.00000,     0.192049,     0.132264,     0.126524,    0.0467301,    0.0893777,   0.00833724,    0.0521269,     0.155007,     0.104152,    0.0461075,     0.185110,     0.251159,    0.0130963,    0.0650676,     0.132533,    0.0247880,    0.0899716,     0.181488
78072,      11.1782,F6V,      7.02951,1,      0.00000,     0.140871,    0.0745892,    0.0916242,     0.113472,    0.0424107,  3.86643e-05,     0.135942,     0.128403,    0.0242507,     0.139043,     0.194834,    0.0664251,    0.0327103,    0.0722840,    0.0394585,    0.0418955,    0.0984815,    0.0666827
88601,      5.08337,K0VSB,     0.566875,1,      0.00000,     0.217059,    0.0188163,     0.139336,     0.212978,     0.156954,    0.0257929,     0.174841,     0.161307,    0.0394081,     0.186661,     0.207439,    0.0820650,    0.0426060,    0.0741752,    0.0454598,    0.0507847,    0.0995901,    0.0748120
7751,      8.18777,K0V,     0.903201,1,      0.00000,     0.276494,    0.0705154,     0.175368,     0.129815,     0.185938,    0.0546145,     0.106511,     0.183871,    0.0896105,     0.109088,     0.202650,     0.179382,    0.0283409,    0.0707836,    0.0941849,    0.0387653,    0.0960508,     0.135037
7981,      7.60512,K1V,      2.86923,1,      0.00000,     0.262716,    0.0369205,     0.164721,     0.190902,     0.160868,    0.0268163,     0.156418,     0.165381,    0.0421964,     0.159415,     0.208238,    0.0910037,    0.0378018,    0.0737620,    0.0501116,    0.0464479,    0.0993173,    0.0802940
57443,      9.29187,G3/G5V,      4.81943,1,      0.00000,     0.254984,    0.0917557,     0.158195,    0.0606626,     0.153843,    0.0510393,    0.0574099,     0.169908,     0.142063,    0.0593769,     0.189136,     0.276547,    0.0177588,    0.0660122,     0.143254,    0.0297960,    0.0912761,     0.192914
86162,      4.54999,M3.5Vvar,      2.14840,1,      0.00000,     0.231746,     0.288133,     0.141819,    0.0230242,     0.140849,    0.0558827,    0.0304779,     0.157853,     0.196988,    0.0319221,     0.173788,     0.363872,    0.0157169,    0.0627140,     0.197350,    0.0316138,    0.0900647,     0.248781
16852,      13.9626,F9V,     0.361049,1,      0.00000,     0.138639,    0.0581369,    0.0842288,    0.0750427,    0.0368183,      0.00000,    0.0978216,     0.135554,    0.0361104,    0.0913464,     0.193966,     0.123795,    0.0225953,    0.0697678,    0.0706230,    0.0323658,    0.0955232,     0.105261
22449,      8.04189,F6V,      3.59093,1,      0.00000,    0.0973657,    0.0131050,    0.0591044,     0.201471,    0.0440457,  0.000496667,     0.197268,    0.0799677,    0.0121152,     0.202755,     0.133619,    0.0287130,    0.0444176,    0.0542587,    0.0168703,    0.0509265,    0.0764165,    0.0294960
102485,      14.2448,F5V,     0.148761,1,      0.00000,     0.122702,    0.0598088,    0.0743720,    0.0780045,    0.0276145,  2.00958e-05,     0.105901,     0.126936,    0.0271476,     0.101394,     0.193822,     0.101439,    0.0245843,    0.0703288,    0.0588279,    0.0339432,    0.0962294,    0.0917684
113283,      7.60815,K4Vp,      2.16107,1,      0.00000,     0.276475,    0.0332158,     0.164592,    0.0655820,     0.176169,    0.0797065,    0.0577614,     0.174310,     0.153766,    0.0615114,     0.189245,     0.285259,    0.0185651,    0.0659908,     0.146716,    0.0304769,    0.0912089,     0.196784
49908,      4.86875,K8V,      38.2227,1,      0.00000,     0.277917,    0.0376775,     0.165435,     0.100315,     0.169665,    0.0564471,    0.0968102,     0.176770,     0.107798,     0.110945,     0.199483,     0.213667,    0.0293905,    0.0699386,     0.111260,    0.0399645,    0.0953512,     0.157625
14632,      10.5088,G0V,     0.497077,2,      1.23403,     0.122996,    0.0352685,    0.0718419,    0.0504679,    0.0578128,   0.00179922,    0.0310790,    0.0551855,    0.0311025,    0.0327147,    0.0229280,    0.0607627,   0.00901175,   0.00547185,    0.0310628,    0.0105437,   0.00549966,    0.0430574
56452,      9.54355,K0V,     0.446578,1,      0.00000,     0.282372,    0.0530483,     0.164835,    0.0904469,     0.169073,    0.0550948,    0.0761568,     0.176873,     0.119282,    0.0762151,     0.194983,     0.235776,    0.0211824,    0.0681328,     0.121485,    0.0327890,    0.0932536,     0.167135
