HIP,vmag,dist (pc),Type,EEID (mas),nexozodis (zodis),Detection Coronagraph ID,Characterization Coronagraph ID,Total BB Imaging Time (days),Total Spec Char Time (days),Total EEC Yield,Total HZ Completeness
      544.000,      6.07000,      13.7786,K0V,      59.3357,      2.46515,           2,           1,      1.65000,     0.347042,     0.237260,     0.956376
      910.000,      4.89000,      17.9898,F5V,      96.2054,      1.97908,           3,           1,      1.38119,     0.543953,     0.190215,     0.766742
      950.000,      5.24000,      21.6480,F3/F5V,      81.5825,      2.72662,           2,           1,      2.95483,      1.18639,     0.186827,     0.753085
      1292.00,      6.59000,      17.5648,G6V,      46.6432,      10.9041,           2,           1,      2.14649,      1.23933,     0.119315,     0.480951
      1475.00,      8.09000,      3.56265,M1V,      55.9652,      264.381,           2,           1,      1.78649,     0.110515,     0.233136,     0.939752
      1599.00,      4.23000,      8.53476,F9V,      132.589,      1.25115,           3,           2,     0.791689,    0.0778631,     0.246006,     0.991629
      2021.00,      2.82000,      7.45879,G2IV,      255.975,      1.11589,           3,           3,     0.513106,    0.0162580,     0.114382,     0.461065
      3093.00,      5.88000,      11.1372,K0V,      67.2366,      4.45846,           2,           1,      1.36369,     0.227854,     0.241406,     0.973087
      3497.00,      6.55000,      22.0298,G3V,      46.1145,     0.556068,           2,           1,      2.67741,      1.52539,     0.172050,     0.693521
      3505.00,      5.22000,      27.2472,F0V,      81.2008,     0.123055,           2,           1,      2.57494,     0.830699,     0.146233,     0.589456
      3583.00,      5.80000,      14.9939,G5IV,      65.0070,      6.06370,           2,           1,      2.15951,     0.697208,     0.228828,     0.922390
      3765.00,      5.74000,      7.43500,K2V,      72.5810,     0.348517,           2,           1,      1.07553,    0.0433024,     0.247791,     0.998826
      3810.00,      5.07000,      23.2305,F8V...,      88.7639,      2.85995,           3,           1,      1.93097,     0.977243,     0.139659,     0.562956
      3821.00,      3.46000,      5.83819,G0VSB,      189.219,     0.732871,           3,           3,     0.542699,    0.0235256,     0.208526,     0.840553
      3909.00,      5.17000,      15.8800,F7IV-V,      84.9900,      10.8118,           2,           1,      3.11102,      1.48066,     0.223086,     0.899244
      4151.00,      4.80000,      18.8007,F8V,      101.376,      8.15501,           3,           1,      2.07135,     0.961797,     0.167367,     0.674643
      5862.00,      4.97000,      15.1769,F8V,      94.2440,      2.33512,           3,           1,      1.50105,     0.518942,     0.228253,     0.920069
      6706.00,      5.35000,      25.5935,F2V:var,      77.2053,      1.58890,           2,           1,      3.29971,      1.79437,     0.166075,     0.669435
      7339.00,      6.52000,      21.0559,G6V,      47.1412,     0.190346,           2,           1,      1.98240,      1.17111,     0.180577,     0.727893
      7513.00,      4.10000,      13.4100,F8V,      139.819,      2.21254,           3,           2,     0.840513,     0.183786,     0.186163,     0.750408
      7751.00,      5.76000,      8.18777,K0V,      71.7820,     0.903201,           2,           1,     0.926204,     0.101511,     0.246914,     0.995289
      7978.00,      5.52000,      17.3444,F8V,      72.9311,      1.08430,           2,           1,      2.35057,     0.730812,     0.230194,     0.927893
      7981.00,      5.24000,      7.60512,K1V,      89.4359,      2.86923,           2,           1,     0.908220,    0.0594066,     0.243346,     0.980907
      8102.00,      3.49000,      3.60339,G8V,      193.533,      146.257,           3,           2,     0.652836,    0.0413561,     0.211929,     0.854270
      8362.00,      5.63000,      10.0427,K0V,      73.9598,      150.180,           2,           1,      3.93317,      1.68140,     0.211147,     0.851117
      8514.00,      6.37000,      25.9284,F6V,      49.0065,     0.855915,           2,           1,      2.28442,      1.48531,     0.127231,     0.512860
      10138.0,      6.12000,      10.7870,K0V,      59.0280,      1.88376,           2,           1,      1.58820,     0.225759,     0.240795,     0.970627
      10644.0,      4.84000,      11.0078,G0V,      100.762,      7.90621,           3,           1,      1.38853,     0.308916,     0.243057,     0.979745
      10723.0,      5.60000,      23.0056,G0.5IV,      70.6318,      1.15155,           2,           1,      3.09161,      1.22600,     0.189777,     0.764976
      10798.0,      6.33000,      12.8344,G8V,      52.3023,      9.16315,           2,           1,      1.73734,     0.604498,     0.230570,     0.929409
      12114.0,      5.79000,      7.23545,K3V,      71.7320,     0.258520,           2,           1,      1.76676,    0.0373169,     0.247952,     0.999476
      12444.0,      5.79000,      21.9251,F6V,      64.0262,      1.71305,           2,           1,      2.94186,      1.24707,     0.196968,     0.793961
      12653.0,      5.40000,      17.3267,G3IV,      77.2056,      2.92922,           2,           1,      3.06824,      1.08490,     0.231437,     0.932904
