HIP,dist (pc),Type,nexozodis (zodis),Visit #,Visit dt (years),Exp Time (days),Spec char time (days),exoEarth candidate yield,Hot Rocky yield, Warm Rocky yield, Cold Rocky yield, Hot SuperEarth yield, Warm SuperEarth yield, Cold SuperEarth yield, Hot Sub-Neptune yield, Warm Sub-Neptune yield, Cold Sub-Neptune yield,Hot Neptune yield, Warm Neptune yield, Cold Neptune yield, Hot Jupiter yield, Warm Jupiter yield, Cold Jupiter yield
104214,      3.49717,K5V,      10.2321,1,      0.00000,     0.277880,    0.0401437,     0.189751,     0.370137,     0.212933,     0.179334,     0.297695,     0.194203,     0.317564,     0.282838,     0.216613,     0.551136,    0.0538295,    0.0764684,     0.415933,    0.0557706,     0.102532,     0.460540
54035,      2.54686,M2V,      1.78908,1,      0.00000,     0.284467,    0.0258401,     0.191245,     0.285021,     0.217993,     0.199503,     0.227828,     0.194228,     0.455462,     0.207436,     0.212471,     0.789427,    0.0417798,    0.0746439,     0.590844,    0.0435964,     0.100436,     0.592865
3821,      5.83819,G0VSB,     0.732871,1,      0.00000,     0.241022,    0.0710611,     0.158179,     0.467866,     0.137035,    0.0204524,     0.369642,     0.179349,    0.0759385,     0.352973,     0.216676,     0.206983,    0.0641063,    0.0770116,     0.169717,    0.0644605,     0.103251,     0.289721
104217,      3.49472,K7V,      4.53856,1,      0.00000,     0.304655,    0.0367365,     0.189365,     0.337609,     0.212395,     0.178182,     0.273276,     0.193924,     0.372631,     0.259358,     0.215599,     0.611861,    0.0501283,    0.0759087,     0.451071,    0.0518440,     0.101956,     0.500193
96100,      5.77232,K0V,     0.830024,1,      0.00000,     0.317481,    0.0601255,     0.184006,     0.392585,     0.193079,    0.0871729,     0.312404,     0.192172,     0.239045,     0.297518,     0.217297,     0.448028,    0.0559805,    0.0765904,     0.311399,    0.0575715,     0.102673,     0.404467
99240,      6.09561,G5IV-Vvar,      2.17188,1,      0.00000,     0.281985,    0.0667515,     0.152869,     0.450397,     0.125868,    0.0167430,     0.364771,     0.176338,    0.0737056,     0.351594,     0.215360,     0.202717,    0.0640094,    0.0767738,     0.166736,    0.0643842,     0.103210,     0.288266
114046,      3.28711,M2/M3V,      5.65907,1,      0.00000,     0.327249,    0.0409073,     0.174671,     0.237500,     0.182240,     0.112111,     0.218390,     0.185356,     0.392269,     0.204893,     0.210286,     0.753032,    0.0416157,    0.0743347,     0.547252,    0.0436020,     0.100261,     0.567729
108870,      3.63895,K5V,      41.2435,1,      0.00000,     0.369766,    0.0838845,     0.176887,     0.379176,     0.181187,    0.0990071,     0.316774,     0.187459,     0.226614,     0.308794,     0.214979,     0.463388,    0.0580390,    0.0764637,     0.353358,    0.0593594,     0.102920,     0.412337
105090,      3.97094,M1/M2V,      10.7658,1,      0.00000,     0.366886,    0.0671661,     0.166740,     0.240144,     0.160435,    0.0830270,     0.233968,     0.181598,     0.351997,     0.225933,     0.210403,     0.672073,    0.0450443,    0.0747955,     0.482953,    0.0469457,     0.101033,     0.527777
70890,      1.30124,M5Ve,      2.42113,1,      0.00000,     0.332981,    0.0514729,     0.147655,    0.0310799,     0.151007,     0.168836,    0.0464436,     0.161645,     0.540589,    0.0297783,     0.176631,      1.10241,   0.00353039,    0.0609194,     0.914285,   0.00326921,    0.0827130,     0.770940
3765,      7.43500,K2V,     0.348517,1,      0.00000,     0.380952,     0.158748,     0.166578,     0.278404,     0.163996,    0.0537139,     0.245727,     0.183909,     0.291529,     0.233015,     0.212433,     0.617050,    0.0460032,    0.0750948,     0.411635,    0.0477630,     0.101152,     0.471232
12114,      7.23545,K3V,     0.258520,1,      0.00000,     0.370696,     0.128602,     0.160526,     0.270832,     0.147816,    0.0344820,     0.243458,     0.180615,     0.268397,     0.230973,     0.211924,     0.612219,    0.0457282,    0.0750568,     0.412211,    0.0474785,     0.101112,     0.473711
8102,      3.60339,G8V,      146.257,1,      0.00000,     0.401302,     0.177722,     0.166102,     0.423460,     0.150905,    0.0294572,     0.358471,     0.182078,    0.0977835,     0.350962,     0.213855,     0.334089,    0.0641457,    0.0765330,     0.245246,    0.0647173,     0.103255,     0.318138
2021,      7.45879,G2IV,      1.11589,1,      0.00000,     0.191931,    0.0342616,    0.0775841,     0.399350,    0.0320093,  2.00958e-05,     0.367961,     0.113811,    0.0183178,     0.372051,     0.193567,    0.0625037,    0.0667052,    0.0751419,    0.0667540,    0.0671178,     0.102742,     0.185310
22449,      8.04189,F6V,      3.59093,1,      0.00000,     0.246491,     0.101960,    0.0984349,     0.388277,    0.0484884,  0.000448437,     0.356911,     0.144076,    0.0353604,     0.356951,     0.208338,     0.122555,    0.0646609,    0.0758794,     0.106882,    0.0652803,     0.102796,     0.239185
1599,      8.53476,F9V,      1.25115,1,      0.00000,     0.398041,     0.169511,     0.153703,     0.376117,     0.127767,    0.0192879,     0.319948,     0.176251,     0.146556,     0.311130,     0.214064,     0.345916,    0.0583302,    0.0763218,     0.225297,    0.0594626,     0.102704,     0.348550
16537,      3.20288,K2V,      297.000,1,      0.00000,     0.417260,     0.204187,     0.158925,     0.392564,     0.131330,    0.0270094,     0.347928,     0.178012,     0.115323,     0.344779,     0.212376,     0.369785,    0.0633615,    0.0762298,     0.266780,    0.0640872,     0.103065,     0.332165
7981,      7.60512,K1V,      2.86923,1,      0.00000,     0.417892,     0.210149,     0.158393,     0.287317,     0.139565,    0.0347810,     0.266423,     0.179158,     0.247091,     0.261660,     0.211933,     0.524846,    0.0507718,    0.0755076,     0.342449,    0.0527789,     0.101827,     0.430458
64924,      8.50535,G5V,      2.55783,1,      0.00000,     0.428800,     0.227642,     0.152192,     0.316043,     0.120925,    0.0205079,     0.289576,     0.175891,     0.189819,     0.285575,     0.212138,     0.434618,    0.0543303,    0.0758410,     0.280180,    0.0563995,     0.102299,     0.383274
27072,      8.88013,F7V,      4.73721,1,      0.00000,     0.313733,     0.190642,     0.110833,     0.350097,    0.0594242,  0.000949687,     0.336587,     0.153568,    0.0624069,     0.337695,     0.209012,     0.199548,    0.0623885,    0.0757278,     0.142799,    0.0632022,     0.102723,     0.277787
15457,      9.14571,G5Vvar,     0.532629,1,      0.00000,     0.446217,     0.214417,     0.157117,     0.330247,     0.135087,    0.0250267,     0.288196,     0.179291,     0.197598,     0.278979,     0.213642,     0.458394,    0.0533549,    0.0759157,     0.290762,    0.0553849,     0.102207,     0.388131
56452,      9.54355,K0V,     0.446578,1,      0.00000,     0.428309,     0.426920,     0.148943,     0.210658,     0.131621,    0.0286369,     0.218298,     0.176032,     0.271551,     0.209127,     0.208948,     0.653392,    0.0423940,    0.0741504,     0.442781,    0.0444465,     0.100345,     0.472891
61317,      8.61105,G0V,      2.56568,1,      0.00000,     0.443332,     0.231052,     0.151716,     0.362141,     0.122430,    0.0177303,     0.315894,     0.175025,     0.146320,     0.309643,     0.213303,     0.349128,    0.0581871,    0.0762213,     0.229424,    0.0594163,     0.102684,     0.351965
3821,      5.83819,G0VSB,     0.732871,2,     0.838754,     0.209169,    0.0396727,    0.0712707,    0.0930929,    0.0858117,    0.0129917,    0.0423837,    0.0440948,    0.0448113,    0.0284750,    0.0139545,    0.0693898,   0.00385641,   0.00264842,    0.0470005,   0.00305031,   0.00201961,    0.0311701
2021,      7.45879,G2IV,      1.11589,2,      1.46696,     0.187063,    0.0295445,    0.0622501,     0.116181,    0.0299148,      0.00000,    0.0551127,    0.0611905,    0.0169433,    0.0303383,    0.0310009,    0.0516310,   0.00362151,   0.00456159,    0.0369492,   0.00282498,   0.00260639,    0.0414271
14632,      10.5088,G0V,     0.497077,1,      0.00000,     0.352575,     0.180082,     0.116505,     0.337062,    0.0688793,   0.00149231,     0.319402,     0.155981,    0.0857828,     0.317891,     0.210181,     0.278727,    0.0595797,    0.0758719,     0.171356,    0.0605113,     0.102495,     0.299487
104214,      3.49717,K5V,      10.2321,2,     0.215219,     0.151830,    0.0114048,    0.0499909,    0.0695138,    0.0658850,    0.0160364,    0.0400926,    0.0314135,    0.0431238,    0.0290277,    0.0136855,    0.0499675,   0.00466618,   0.00298707,    0.0359041,   0.00407957,   0.00249677,    0.0196533
113283,      7.60815,K4Vp,      2.16107,1,      0.00000,     0.441845,     0.276641,     0.145147,     0.161185,     0.118053,    0.0294448,     0.196315,     0.172521,     0.297418,     0.193814,     0.206531,     0.711297,    0.0400588,    0.0736235,     0.494924,    0.0422552,    0.0996825,     0.506631
56997,      9.57942,G8Vvar,      1.82375,1,      0.00000,     0.459534,     0.359424,     0.145593,     0.250636,     0.114928,    0.0198397,     0.252837,     0.173406,     0.225973,     0.251191,     0.209939,     0.530559,    0.0492612,    0.0751153,     0.343579,    0.0512195,     0.101494,     0.423099
64394,      9.18315,G0V,      2.70214,1,      0.00000,     0.457225,     0.276630,     0.144449,     0.349072,     0.108305,    0.0111761,     0.313443,     0.171243,     0.134185,     0.309043,     0.212300,     0.339534,    0.0582033,    0.0760938,     0.220370,    0.0594353,     0.102628,     0.345019
96100,      5.77232,K0V,     0.830024,2,     0.450979,     0.172921,    0.0196477,    0.0538456,    0.0713882,    0.0681521,    0.0101795,    0.0398571,    0.0328844,    0.0418637,    0.0301447,    0.0130667,    0.0523957,   0.00461213,   0.00286275,    0.0313672,   0.00405184,   0.00243011,    0.0236311
22449,      8.04189,F6V,      3.59093,2,      1.26666,     0.229041,    0.0802695,    0.0695666,     0.116007,    0.0421633,  0.000272901,    0.0563610,    0.0606741,    0.0265196,    0.0326081,    0.0223464,    0.0620837,   0.00401131,   0.00385962,    0.0402817,   0.00320532,   0.00250090,    0.0382057
104217,      3.49472,K7V,      4.53856,2,     0.188123,     0.163720,    0.0104494,    0.0495951,    0.0656949,    0.0674019,    0.0186908,    0.0400641,    0.0308170,    0.0424727,    0.0309836,    0.0138816,    0.0500909,   0.00520302,   0.00324350,    0.0333806,   0.00457135,   0.00295042,    0.0218466
54035,      2.54686,M2V,      1.78908,2,    0.0853784,     0.155878,   0.00650091,    0.0464142,    0.0533518,    0.0655720,    0.0182919,    0.0369443,    0.0295603,    0.0359051,    0.0295422,    0.0159091,    0.0417189,   0.00595215,   0.00402262,    0.0257788,   0.00549693,   0.00395423,    0.0206714
91768,      3.52176,K5,      1.50178,1,      0.00000,     0.424816,     0.165388,     0.126479,    0.0505431,    0.0953090,    0.0278729,    0.0951194,     0.161902,     0.319943,    0.0834220,     0.191474,     0.895595,    0.0165656,    0.0678754,     0.743233,    0.0177648,    0.0924276,     0.678207
99240,      6.09561,G5IV-Vvar,      2.17188,2,     0.884295,     0.247221,    0.0397913,    0.0734823,    0.0992068,    0.0820246,    0.0109823,    0.0461594,    0.0462407,    0.0443650,    0.0297001,    0.0151938,    0.0705668,   0.00388190,   0.00281052,    0.0478060,   0.00293593,   0.00207781,    0.0321931
114046,      3.28711,M2/M3V,      5.65907,2,     0.126996,     0.198108,    0.0145492,    0.0564773,    0.0580144,    0.0641473,    0.0163001,    0.0411242,    0.0356318,    0.0529430,    0.0331956,    0.0167516,    0.0570216,   0.00575009,   0.00432830,    0.0333896,   0.00553491,   0.00404899,    0.0280114
108870,      3.63895,K5V,      41.2435,2,     0.327380,     0.204998,    0.0317321,    0.0582495,    0.0856346,    0.0616854,    0.0157176,    0.0460513,    0.0367578,    0.0550811,    0.0307897,    0.0144348,    0.0670294,   0.00459648,   0.00294015,    0.0422060,   0.00370849,   0.00228986,    0.0217441
57443,      9.29187,G3/G5V,      4.81943,1,      0.00000,     0.505381,     0.455809,     0.141783,     0.266126,     0.102399,    0.0162215,     0.270893,     0.171142,     0.198520,     0.271624,     0.210018,     0.466298,    0.0526206,    0.0753989,     0.298754,    0.0548078,     0.101987,     0.395576
109176,      11.7975,F5V,     0.963083,1,      0.00000,     0.291844,     0.169881,    0.0818206,     0.296240,    0.0300459,  2.00958e-05,     0.317797,     0.134250,    0.0475885,     0.325635,     0.204723,     0.212507,    0.0608894,    0.0751186,     0.132530,    0.0618449,     0.102266,     0.258382
68184,      10.0778,K3V,     0.299291,1,      0.00000,     0.476785,     0.591995,     0.131804,     0.143502,     0.104520,    0.0175066,     0.187157,     0.168990,     0.252374,     0.186695,     0.205453,     0.689728,    0.0388401,    0.0731841,     0.487770,    0.0411519,    0.0992194,     0.485440
23311,      8.84771,K3V,      1.83349,1,      0.00000,     0.508178,     0.371877,     0.140300,     0.170540,     0.106146,    0.0201060,     0.209774,     0.170293,     0.262807,     0.207774,     0.206932,     0.649238,    0.0422943,    0.0739442,     0.443605,    0.0444985,     0.100287,     0.476108
12777,      11.1488,F7V,      2.17284,1,      0.00000,     0.408686,     0.354295,     0.110727,     0.304756,    0.0582402,  0.000762113,     0.308340,     0.153536,    0.0859402,     0.311261,     0.208420,     0.291990,    0.0587440,    0.0755607,     0.180855,    0.0599111,     0.102337,     0.307820
99825,      8.79909,K3V,      4.80992,1,      0.00000,     0.499963,     0.447791,     0.134901,     0.181165,    0.0922711,    0.0156176,     0.225870,     0.167702,     0.245986,     0.228468,     0.207120,     0.592070,    0.0457162,    0.0743382,     0.396704,    0.0477269,     0.100904,     0.457348
3765,      7.43500,K2V,     0.348517,2,     0.386558,     0.221364,    0.0672931,    0.0596969,    0.0629782,    0.0625817,   0.00738219,    0.0417140,    0.0376411,    0.0475462,    0.0329538,    0.0159607,    0.0592810,   0.00558468,   0.00381342,    0.0295683,   0.00505951,   0.00354585,    0.0247657
80686,      12.1768,F9V,    0.0680988,1,      0.00000,     0.508301,     0.461678,     0.136063,     0.296892,     0.101762,   0.00934711,     0.276774,     0.170128,     0.165994,     0.271213,     0.211547,     0.452065,    0.0523228,    0.0755903,     0.282710,    0.0543832,     0.101922,     0.370508
23693,      11.6247,F7V,     0.357610,1,      0.00000,     0.537112,     0.379537,     0.141983,     0.317601,     0.107932,    0.0118188,     0.288511,     0.172566,     0.162767,     0.282508,     0.212278,     0.426489,    0.0537926,    0.0758513,     0.266697,    0.0559493,     0.102289,     0.364741
15371,      12.0464,G1V,     0.622423,1,      0.00000,     0.517858,     0.581579,     0.135319,     0.245853,     0.100579,    0.0106832,     0.251890,     0.169479,     0.195444,     0.250866,     0.209678,     0.511702,    0.0492346,    0.0750276,     0.328314,    0.0511628,     0.101444,     0.402758
105090,      3.97094,M1/M2V,      10.7658,2,     0.172930,     0.236226,    0.0280422,    0.0616798,    0.0637791,    0.0622681,    0.0145017,    0.0438825,    0.0394815,    0.0575996,    0.0336772,    0.0174640,    0.0629827,   0.00572261,   0.00402085,    0.0403693,   0.00511663,   0.00364530,    0.0303909
24186,      3.93350,M0V,      7.08868,1,      0.00000,     0.489594,     0.325321,     0.126031,    0.0539558,    0.0957458,    0.0395692,     0.118205,     0.163414,     0.364625,     0.117247,     0.195758,     0.898857,    0.0243706,    0.0698123,     0.688204,    0.0258252,    0.0952173,     0.635892
12114,      7.23545,K3V,     0.258520,2,     0.368691,     0.250782,    0.0612130,    0.0641266,    0.0694773,    0.0674074,   0.00765304,    0.0428370,    0.0406379,    0.0521408,    0.0330083,    0.0165710,    0.0639864,   0.00562288,   0.00386769,    0.0325160,   0.00503389,   0.00360086,    0.0288078
17378,      9.07301,K0IV,      4.07724,1,      0.00000,     0.320718,    0.0888250,    0.0819311,     0.322066,    0.0300089,  2.00958e-05,     0.340315,     0.133783,    0.0310683,     0.349674,     0.204449,     0.124197,    0.0639709,    0.0752867,    0.0976075,    0.0648173,     0.102517,     0.232137
8102,      3.60339,G8V,      146.257,2,     0.479787,     0.255974,    0.0789033,    0.0648607,    0.0981379,    0.0629790,   0.00869828,    0.0487579,    0.0420368,    0.0419056,    0.0300560,    0.0166118,    0.0753851,   0.00384631,   0.00304994,    0.0368895,   0.00287321,   0.00204186,    0.0232035
77257,      11.8186,G0Vvar,     0.932831,1,      0.00000,     0.488511,     0.349085,     0.120926,     0.304188,    0.0723311,   0.00220632,     0.296636,     0.160379,     0.112231,     0.298231,     0.209733,     0.349294,    0.0565307,    0.0756781,     0.215425,    0.0582674,     0.102287,     0.329632
86400,      10.0868,K3V,      1.14254,1,      0.00000,     0.497060,     0.599066,     0.122822,     0.109598,    0.0873171,    0.0147620,     0.172348,     0.164769,     0.257360,     0.174536,     0.203384,     0.717356,    0.0366862,    0.0726724,     0.515037,    0.0390663,    0.0987918,     0.503992
57939,      9.17809,G8Vp,      4.53400,1,      0.00000,     0.468348,     0.864000,     0.114840,    0.0810414,    0.0772905,    0.0187911,     0.161104,     0.162144,     0.302743,     0.168890,     0.201639,     0.762088,    0.0356067,    0.0724343,     0.543435,    0.0380090,    0.0987009,     0.528661
1599,      8.53476,F9V,      1.25115,2,     0.863637,     0.280848,    0.0891157,    0.0686451,    0.0899906,    0.0668012,   0.00559306,    0.0476419,    0.0449355,    0.0472392,    0.0319704,    0.0162114,    0.0644424,   0.00463757,   0.00314509,    0.0375690,   0.00370355,   0.00243683,    0.0325445
72848,      11.3752,K2V,     0.875574,1,      0.00000,     0.513734,     0.765179,     0.125555,     0.155361,    0.0873521,    0.0103397,     0.205731,     0.165479,     0.225161,     0.205957,     0.205965,     0.625797,    0.0420141,    0.0737195,     0.430028,    0.0442852,     0.100109,     0.456959
27072,      8.88013,F7V,      4.73721,2,      1.14170,     0.297497,     0.142884,    0.0721046,     0.116032,    0.0487474,  0.000701102,    0.0578656,    0.0579583,    0.0354254,    0.0333021,    0.0217017,    0.0659113,   0.00444299,   0.00393937,    0.0433511,   0.00338482,   0.00259793,    0.0405394
49908,      4.86875,K8V,      38.2227,1,      0.00000,     0.561658,     0.285426,     0.134897,     0.138335,    0.0883596,    0.0279080,     0.209433,     0.166754,     0.315134,     0.215162,     0.205544,     0.673627,    0.0435306,    0.0739058,     0.490695,    0.0458005,     0.100633,     0.534278
7981,      7.60512,K1V,      2.86923,2,     0.465451,     0.268756,    0.0953449,    0.0637023,    0.0732833,    0.0599255,   0.00637720,    0.0449244,    0.0425818,    0.0486325,    0.0324459,    0.0179149,    0.0607878,   0.00523985,   0.00374911,    0.0350585,   0.00454908,   0.00305508,    0.0295226
67155,      5.43527,M3V,      2.08174,1,      0.00000,     0.469429,     0.395345,     0.110746,    0.0316279,    0.0772159,    0.0227271,    0.0958055,     0.157172,     0.310913,    0.0934903,     0.191192,     0.878155,    0.0190360,    0.0681703,     0.703282,    0.0204511,    0.0931857,     0.635708
88601,      5.08337,K0VSB,     0.566875,1,      0.00000,     0.557281,     0.641497,     0.129675,     0.421053,    0.0871315,   0.00324378,     0.347718,     0.166113,    0.0988277,     0.334998,     0.213548,     0.325968,    0.0618624,    0.0768078,     0.260590,    0.0622707,     0.103384,     0.354193
15457,      9.14571,G5Vvar,     0.532629,2,     0.683923,     0.276820,    0.0987704,    0.0641403,    0.0765123,    0.0616965,   0.00485715,    0.0444659,    0.0427805,    0.0454016,    0.0317798,    0.0163841,    0.0608219,   0.00488393,   0.00342385,    0.0310476,   0.00439180,   0.00279515,    0.0293400
