HIP,RA,Dec,Umag,Bmag,Vmag,Rmag,Imag,Jmag,Hmag,Kmag,M_V,dist (pc),Type,Lstar (Lsun),Angdiam (mas), Mass (Msun), WDS_sep, WDS_dmag, Detection Coronagraph ID,Characterization Coronagraph ID, EEID (mas),nexozodis (zodis),Total BB Imaging Time (days),Total Spec Char Time (days),Total EEC Yield,Total HZ Completeness
544,1.65327,29.0215,          NaN,6.822,6.07,5.6,5.27,4.733,4.629,4.314,5.37398,13.7786,K0V,0.668409,0.596112,0.891276,192.9,4.19,1,1,59.3357,2.46515,3.51773,2.90891,0.183914,0.741345
910,2.81607,-15.468,5.35,5.377,4.89,          NaN,4.3,3.94,3.68,3.63,3.61487,17.9898,F5V,2.99538,0.746612,1.36814,          NaN,          NaN,1,1,96.2054,1.97908,4.03047,2.75179,0.157692,0.635643
1599,5.01775,-64.8748,4.82,4.806,4.23,3.73,3.58,3.19,2.88,2.83,4.57404,8.53476,F9V,1.28056,1.12392,1.07321,          NaN,          NaN,1,1,132.589,1.25115,2.0559,0.316983,0.244912,0.987223
2021,6.4378,-77.2542,3.52,3.438,2.82,2.28,2.14,1.72,1.4,1.34,3.45666,7.45879,G2IV,3.6453,2.2606,1.44709,          NaN,          NaN,1,1,255.975,1.11589,1.11363,0.09545,0.184753,0.744723
3093,9.84086,21.2505,7.29,6.73,5.88,5.21,5.05,4.47,4.03,3.999,5.64612,11.1372,K0V,0.560743,0.741515,0.847653,172,5.51,1,1,67.2366,4.45846,3.80591,2.18426,0.217382,0.876249
3583,11.44,-47.552,          NaN,6.435,5.8,          NaN,5.08,4.666,4.155,4.298,4.92042,14.9939,G5IV,0.950055,0.584763,0.985468,16.6,7.64,1,1,65.007,6.0637,3.65271,2.73949,0.126217,0.508772
3765,12.0957,5.28061,7.22,6.63,5.74,4.99,4.77,4.37,3.72,3.61,6.38359,7.435,K2V,0.291211,0.837401,0.702937,2.7,          NaN,1,1,72.581,0.348517,1.78711,0.261811,0.247142,0.996211
3821,12.2762,57.8152,4.04,4.047,3.46,2.94,2.8,2.37,2.02,1.99,4.62861,5.83819,G0VSB,1.22036,1.62312,1.05855,12.9,3.84,1,1,189.219,0.732871,1.34423,0.129695,0.246079,0.991925
3909,12.5316,-10.6443,          NaN,5.684,5.17,          NaN,4.58,4.41,4.012,4.015,4.16575,15.88,F7IV-V,1.82153,0.677708,1.18689,          NaN,          NaN,1,1,84.99,10.8118,3.78706,2.64549,0.0970787,0.391317
5862,18.7963,-45.5317,5.65,5.541,4.97,4.47,4.35,4,3.71,3.67,4.06408,15.1769,F8V,2.04585,0.794669,1.22693,          NaN,          NaN,1,1,94.244,2.33512,4.0776,2.4888,0.195308,0.78727
7513,24.1993,41.4055,4.7,4.636,4.1,3.64,3.52,3.17,2.96,2.86,3.46285,13.41,F8V,3.51554,1.13847,1.43218,110.3,8.45,1,1,139.819,2.21254,2.64211,0.930219,0.179889,0.725118
7978,25.6221,-53.7408,          NaN,6.071,5.52,          NaN,4.9,4.79,4.4,4.34,4.32421,17.3444,F8V,1.60009,0.602537,1.14374,          NaN,          NaN,1,1,72.9311,1.0843,3.19077,3.19949,0.1633,0.658251
7981,25.624,20.2685,6.57,6.076,5.24,4.55,4.36,3.83,3.39,3.25,5.83447,7.60512,K1V,0.462632,0.97651,0.80233,54.1,6.36,1,1,89.4359,2.86923,1.95506,0.367277,0.245231,0.988507
8102,26.017,-15.9375,4.43,4.217,3.49,2.88,2.67,2.14,1.72,1.68,5.70644,3.60339,G8V,0.486334,1.89498,0.813866,137,10.32,1,1,193.533,146.257,1.83083,0.294677,0.246821,0.994915
10138,32.6081,-50.8237,          NaN,6.932,6.12,6.1,5.24,4.79,4.25,4.125,5.9555,10.787,K0V,0.405432,0.630193,0.772639,2.4,7.03,1,1,59.028,1.88376,2.97816,1.34503,0.142168,0.57307
10644,34.2635,34.2242,5.5,5.447,4.84,4.5,4.08,3.53,3.29,3.08,4.63151,11.0078,G0V,1.23026,0.880196,1.061,0,          NaN,1,1,100.762,7.90621,4.1646,1.7731,0.224396,0.904525
10798,34.7438,-25.9457,          NaN,7.054,6.33,          NaN,5.5,5.056,4.694,4.551,5.78811,12.8344,G8V,0.450601,0.510474,0.796312,          NaN,          NaN,1,1,52.3023,9.16315,3.30421,2.31939,0.104318,0.420497
12114,39.0204,6.88687,          NaN,6.708,5.79,5.2,4.73,4.15,3.66,3.52,6.49267,7.23545,K3V,0.269375,0.852993,0.687456,1.7,10.84,1,1,71.732,0.25852,1.57099,0.216219,0.24506,0.987818
12653,40.6394,-50.8003,          NaN,5.961,5.4,5.4,4.78,4.75,4.32,4.138,4.20642,17.3267,G3IV,1.78949,0.644296,1.18089,          NaN,          NaN,1,1,77.2056,2.92922,3.34553,2.93724,0.128936,0.519729
12777,41.0499,49.2284,4.62,4.614,4.1,3.67,3.51,3.34,3.07,2.78,3.86385,11.1488,F7V,2.40544,1.10928,1.28503,19.9,5.84,1,1,139.113,2.17284,2.50908,0.844625,0.216602,0.873107
12843,41.2758,-18.5726,4.94,4.951,4.47,4.03,3.93,3.58,3.35,3.32,3.71848,14.1353,F5/F6V,2.71765,0.899443,1.33062,          NaN,          NaN,1,1,116.625,4.46484,3.68684,2.14025,0.18731,0.755031
14632,47.2668,49.6133,4.76,4.645,4.05,3.7,3.4,3.14,2.88,2.64,3.94224,10.5088,G0V,2.30508,1.24864,1.26948,154.4,8.35,1,1,144.474,0.497077,2.14239,0.43413,0.22486,0.906393
15330,49.4423,-62.5753,6.24,6.171,5.53,5,4.81,4.41,4.07,4,5.12703,12.0391,G2V,0.785748,0.666933,0.933428,309.2,-0.27,1,1,73.6288,4.51998,3.5814,2.55524,0.219986,0.886748
15371,49.5534,-62.5064,          NaN,5.84,5.24,          NaN,4.57,4.27,3.874,3.86,4.83571,12.0464,G1V,1.01529,0.726099,1.00434,0,          NaN,1,1,83.6446,0.622423,2.33808,1.14651,0.233967,0.943102
15457,49.8404,3.3702,5.71,5.521,4.84,4.27,4.11,3.66,3.35,3.34,5.03391,9.14571,G5Vvar,0.871993,0.961563,0.961621,263.6,3.94,1,1,102.103,0.532629,2.21501,0.390764,0.245187,0.988329
15510,49.9819,-43.0698,5.2,4.971,4.26,3.65,3.47,2.99,2.6,2.53,5.36787,6.00381,G8V,0.657534,1.30302,0.887108,          NaN,          NaN,1,1,135.062,139.145,3.76612,1.62391,0.21864,0.881323
16537,53.2327,-9.45826,5.19,4.601,3.72,3,2.78,2.23,1.75,1.67,6.1923,3.20288,K2V,0.346181,2.09536,0.738537,0,          NaN,1,1,183.701,297,2.11504,0.359609,0.246315,0.992877
16852,54.2183,0.401662,5.23,4.865,4.29,4.09,3.63,3.26,3.01,2.91,3.56517,13.9626,F9V,3.24229,1.09201,1.39945,          NaN,          NaN,1,1,128.961,0.361049,2.56373,0.730885,0.191883,0.773465
17378,55.8121,-9.7634,5.13,4.435,3.52,2.82,2.58,1.98,1.52,1.43,3.73124,9.07301,K0IV,3.41736,2.4154,1.42064,          NaN,          NaN,1,1,203.748,4.07724,1.95551,0.239928,0.186775,0.752877
17420,55.9806,-19.1109,8.711,8.027,7.1,6.555,6.13,5.457,5.025,4.837,6.37635,13.955,K2V,0.302539,0.472991,0.710644,          NaN,          NaN,1,1,39.4149,0.178539,2.12313,1.81296,0.0822242,0.331439
17651,56.712,-23.2497,          NaN,4.654,4.22,          NaN,3.71,3.61,3.393,3.353,2.98778,17.6378,F3/F5V,5.28689,0.953106,1.60927,          NaN,          NaN,1,1,130.363,0.964476,2.58672,1.12185,0.127126,0.512436
18859,60.6531,-0.268923,          NaN,5.896,5.38,          NaN,4.8,4.712,4.342,4.181,4.01254,18.7712,F5V,2.09943,0.616695,1.23603,          NaN,          NaN,1,1,77.1896,1.25568,3.23605,3.00854,0.131303,0.529274
19335,62.1526,38.0397,7.78,6.04,5.52,5.2,4.93,4.794,4.512,4.284,3.87657,21.315,F7V,2.38381,0.580931,1.28172,745.9,1.75,1,1,72.4353,0.216471,2.96145,2.68497,0.107933,0.435068
19849,63.818,-7.65287,5.69,5.25,4.43,3.74,3.54,2.93,2.48,2.41,5.91952,5.03612,K1V,0.420357,1.3873,0.780661,83.7,5.19,1,1,128.74,273.686,3.92534,1.44707,0.215664,0.869325
21770,70.1405,-41.8638,4.79,4.782,4.44,4.11,4.04,3.86,3.65,3.67,2.89565,20.3644,F2V,5.60044,0.764708,1.63598,7.5,8.05,1,1,116.209,1.16621,3.40559,2.15947,0.112815,0.45475
22263,71.9012,-16.9345,          NaN,6.122,5.49,          NaN,4.8,4.466,4.116,3.999,4.88035,13.2413,G3V,0.985422,0.672096,0.995813,          NaN,          NaN,1,1,74.9688,1.40864,3.09868,2.20257,0.222776,0.897992
22449,72.46,6.96128,3.62,3.674,3.19,2.77,2.66,2.36,2.15,2.05,3.66321,8.04189,F6V,2.86231,1.62755,1.35049,73.1,8.09,1,1,210.378,3.59093,1.44028,0.258776,0.206242,0.831347
23311,75.2042,-5.75367,8.27,7.269,6.22,5.36,5.12,4.45,3.87,3.8,6.48585,8.84771,K3V,0.317315,0.865098,0.720392,          NaN,          NaN,1,1,63.667,1.83349,2.48781,0.70875,0.240025,0.967523
23693,76.3777,-57.4727,          NaN,5.236,4.71,          NaN,4.11,3.701,3.407,3.371,4.3831,11.6247,F7V,1.49933,0.849575,1.12268,321.7,4.34,1,1,105.334,0.35761,2.82304,0.773195,0.240738,0.970397
24186,77.9191,-45.0184,11.624,10.403,8.86,7.9,6.9,5.821,5.316,5.049,10.8861,3.9335,M0V,0.0215138,0.767374,0.333913,          NaN,          NaN,1,1,37.2889,7.08868,2.20421,0.657664,0.234099,0.943633
25110,80.6397,79.2311,          NaN,5.585,5.08,4.8,4.5,4.416,4.201,3.911,3.47249,20.9654,F6V,3.43668,0.698891,1.42293,31.1,4,1,1,88.4232,0.87478,3.66542,2.77928,0.125535,0.506021
25278,81.1061,17.3835,          NaN,5.544,5,4.7,4.38,4.431,4.029,4.038,4.18044,14.5852,F8VSB,1.82145,0.759293,1.18687,106.7,3.73,1,1,92.5329,4.17469,3.70254,3.14776,0.17641,0.711095
25878,82.8642,-3.67723,10.626,9.444,7.97,6.996,5.89,4.83,4.05,3.9,9.1905,5.70032,M1V,0.0659411,0.966474,0.45985,276.5,2.55,1,1,45.0484,4.77886,2.60184,0.434433,0.225739,0.909938
26394,84.2912,-80.4691,          NaN,6.25,5.65,          NaN,5.01,4.87,4.42,4.241,4.34014,18.2798,G3IV,1.60256,0.601168,1.14424,          NaN,          NaN,1,1,69.2525,4.08935,3.33509,2.39552,0.0835163,0.336648
27072,86.1158,-22.4484,4.08,4.071,3.59,3.15,3.02,2.69,2.46,2.41,3.8479,8.88013,F7V,2.41225,1.34888,1.28607,95,2.64,1,1,174.901,4.73721,1.86716,0.457902,0.217751,0.877737
27435,87.1456,-4.09465,6.71,6.609,5.97,          NaN,5.27,4.83,4.595,4.405,5.05298,15.2547,G4V,0.841137,0.54331,0.951773,          NaN,          NaN,1,1,60.1215,2.09249,3.22193,2.91871,0.156548,0.631031
28103,89.1012,-14.1677,4.05,4.047,3.71,3.39,3.32,3.1,2.93,2.9,2.90197,14.508,F1V,5.56383,1.06299,1.63292,          NaN,          NaN,1,1,162.585,1.32076,1.82785,0.56401,0.12665,0.510514
29271,92.5603,-74.753,          NaN,5.794,5.08,          NaN,4.33,3.951,3.508,3.446,5.03388,10.2147,G5V,0.897038,0.896535,0.969432,          NaN,          NaN,1,1,92.7214,10.4732,3.92418,1.94564,0.218278,0.879861
29800,94.1109,12.2722,          NaN,5.471,5.04,4.8,4.54,4.47,4.2,4.24,3.58605,19.5339,F5IV-V,3.04825,0.650921,1.37499,32.1,7.46,1,1,89.3792,2.98175,3.5939,2.73684,0.0983479,0.396433
32439,101.559,79.5648,          NaN,5.965,5.44,5.1,4.84,4.512,4.262,4.141,4.13902,18.2053,F8V,1.87637,0.606302,1.19699,          NaN,          NaN,1,1,75.2422,0.491402,3.41827,3.03547,0.176236,0.710395
32480,101.685,43.5774,          NaN,5.815,5.24,4.9,4.59,4.406,4.071,4.132,4.13318,16.6481,G0V,1.92154,0.705061,1.20515,29.4,3.34,1,1,83.2645,1.04319,3.50084,2.79802,0.182242,0.734603
33277,103.828,25.3757,          NaN,6.313,5.74,          NaN,5.04,4.913,4.509,4.293,4.52859,17.4695,G0V,1.33438,0.558736,1.08591,          NaN,          NaN,1,1,66.124,2.37051,3.16669,2.69713,0.111439,0.449202
34834,108.14,-46.7593,4.8,4.814,4.49,4.17,4.09,3.87,3.298,3.71,2.89361,20.8582,F0IV,5.60977,0.729006,1.63676,          NaN,          NaN,1,1,113.552,2.12029,3.5446,2.22462,0.102513,0.413222
35136,108.959,47.24,6.19,6.116,5.54,5.2,4.89,4.48,4.13,4.115,4.4048,16.8671,G0V,1.49658,0.614805,1.12209,          NaN,          NaN,1,1,72.5286,2.75021,3.5481,2.88265,0.143257,0.577456
36366,112.278,31.7845,4.48,4.48,4.16,3.86,3.76,3.22,3.16,2.98,2.87794,18.0473,F0V...,5.69242,0.843924,1.64361,3.4,8.34,1,1,132.201,2.18982,4.37639,2.20068,0.10949,0.441347
37606,115.738,-45.1731,          NaN,5.805,5.04,          NaN,4.24,3.68,3.159,3.116,3.28166,22.4734,G5IV,4.64849,0.974034,1.55117,          NaN,          NaN,1,1,95.9372,0.841337,5.15119,1.92691,0.116912,0.471262
38908,119.445,-60.3031,6.17,6.163,5.59,          NaN,4.94,4.56,4.36,4.242,4.54251,16.1993,G2V...,1.31739,0.598696,1.08194,60.5,4.23,1,1,70.8534,2.20824,3.49239,3.01793,0.165348,0.666504
40693,124.6,-12.6322,          NaN,6.704,5.95,          NaN,5.16,4.953,4.364,4.165,5.45442,12.5637,K0V,0.621741,0.631594,0.873034,          NaN,          NaN,1,1,62.7606,4.40235,3.36578,3.02083,0.185639,0.748298
40843,125.016,27.2177,          NaN,5.617,5.13,4.8,4.57,4.127,3.942,3.868,3.82644,18.2269,F6V,2.46504,0.66849,1.29405,          NaN,          NaN,1,1,86.1389,2.66278,3.83616,2.89243,0.135875,0.547703
41926,128.215,-31.5009,          NaN,7.16,6.38,          NaN,5.54,5.333,4.763,4.438,5.95145,12.1818,K0V,0.403771,0.53584,0.771733,          NaN,          NaN,1,1,52.1622,5.84417,2.93721,2.56465,0.135176,0.544883
42438,129.799,65.0209,6.33,6.248,5.63,5.12,4.97,4.55,4.282,4.173,4.83054,14.4508,G1.5Vb,1.02844,0.619759,1.00804,          NaN,          NaN,1,1,70.1775,2.20382,3.39229,2.89491,0.195348,0.787433
42808,130.825,-38.8824,          NaN,7.497,6.58,          NaN,5.61,4.937,4.441,4.358,6.33662,11.186,K2V,0.310715,0.59196,0.716078,          NaN,          NaN,1,1,49.8318,2.48635,3.4197,2.62457,0.212508,0.856605
43587,133.149,28.3308,7.45,6.829,5.96,5.4,5.14,4.59,4.14,4.015,5.45985,12.5901,G8V,0.675383,0.734135,0.893923,85.1,7.11,1,1,65.2748,1.33607,3.95576,2.35799,0.222579,0.897198
43726,133.575,-5.43446,6.89,6.671,6.01,          NaN,5.31,4.871,4.53,4.456,4.87699,16.8501,G3V,0.998169,0.547621,0.999476,          NaN,          NaN,1,1,59.2925,0.476893,2.97439,2.81452,0.152941,0.616492
45333,138.586,61.4233,          NaN,5.785,5.18,          NaN,4.51,4.231,3.914,3.78,3.7122,19.6589,F9V,2.86632,0.750854,1.35103,          NaN,          NaN,1,1,86.1198,2.01705,4.09897,2.69027,0.125516,0.505945
46853,143.214,51.6773,3.67,3.645,3.17,2.74,2.61,2.28,2.08,1.97,2.45456,13.9023,F6IV,8.68944,1.62496,1.85474,2.6,10.83,1,1,212.036,0.0962648,1.45319,0.15528,0.0709023,0.285802
47080,143.915,35.8101,6.56,6.17,5.4,4.79,4.62,4.06,3.72,3.69,5.15324,11.2035,G8IV-V,0.833802,0.830582,0.949394,6.7,7.7,1,1,81.5038,4.12876,2.88347,1.53651,0.213724,0.861506
48113,147.147,46.021,5.8,5.699,5.08,4.57,4.4,4.05,3.75,3.609,3.69725,18.9038,G2V,2.92164,0.79935,1.35843,          NaN,          NaN,1,1,90.4199,4.84293,4.34552,2.33985,0.097985,0.39497
48331,147.779,-43.5028,9.963,8.826,7.67,6.934,6.33,5.451,4.998,4.717,7.40756,11.2847,K5V,0.170533,0.540537,0.603277,          NaN,          NaN,1,1,36.5944,2.41223,2.79521,1.49693,0.0751212,0.302808
49081,150.253,31.9237,          NaN,6.046,5.37,4.9,4.63,4.27,4.04,3.82,4.50024,14.9263,G1V,1.42572,0.748761,1.10665,134.3,10.6,1,1,79.9954,2.72443,3.91387,2.65043,0.185435,0.747474
49908,152.842,49.4542,9.23,7.926,6.6,5.36,5.31,3.97,3.27,3.26,8.16291,4.86875,K8V,0.107013,1.26915,0.528076,153.6,2.28,1,1,67.1894,38.2227,3.04029,0.565322,0.236876,0.954827
50954,156.099,-74.0316,4.35,4.359,3.99,3.67,3.56,3.32,3.14,3.11,2.95012,16.1427,F2IV,5.36088,0.975411,1.61567,          NaN,          NaN,1,1,143.431,0.08628,1.85302,0.544243,0.132825,0.535409
51459,157.657,55.9805,          NaN,5.361,4.82,4.5,4.24,4.033,3.758,3.644,4.26468,12.9141,F8V,1.68338,0.822009,1.16044,122.8,3.98,1,1,100.468,0.787925,3.38988,1.57189,0.233549,0.941419
51502,157.769,82.5586,          NaN,5.649,5.25,          NaN,4.79,4.416,4.364,4.272,3.46699,22.7302,F2V,3.38269,0.567629,1.4165,          NaN,          NaN,1,1,80.9148,0.69186,3.17369,2.44841,0.0980436,0.395206
