HIP,dist (pc),Type,nexozodis (zodis),Visit #,Visit dt (years),Exp Time (days),Spec char time (days),exoEarth candidate yield,Hot Rocky yield, Warm Rocky yield, Cold Rocky yield, Hot SuperEarth yield, Warm SuperEarth yield, Cold SuperEarth yield, Hot Sub-Neptune yield, Warm Sub-Neptune yield, Cold Sub-Neptune yield,Hot Neptune yield, Warm Neptune yield, Cold Neptune yield, Hot Jupiter yield, Warm Jupiter yield, Cold Jupiter yield
54035,      2.54686,M2V,      1.78908,1,      0.00000,     0.206238,    0.0158592,     0.198467,     0.293760,     0.232553,     0.163088,     0.229373,     0.199188,     0.204205,     0.207682,     0.214847,     0.345982,    0.0417805,    0.0751442,     0.196701,    0.0435964,     0.100758,     0.271692
104214,      3.49717,K5V,      10.2321,1,      0.00000,     0.208697,    0.0202681,     0.195428,     0.250354,     0.224852,     0.172837,     0.229463,     0.196315,     0.292911,     0.240869,     0.215150,     0.488023,    0.0485374,    0.0755347,     0.286538,    0.0518383,     0.101359,     0.335336
104217,      3.49472,K7V,      4.53856,1,      0.00000,     0.223435,    0.0188639,     0.196410,     0.353128,     0.218041,    0.0591581,     0.277374,     0.197688,    0.0785626,     0.260296,     0.217888,     0.179207,    0.0502296,    0.0764785,     0.109952,    0.0518398,     0.102410,     0.179019
70890,      1.30124,M5Ve,      2.42113,1,      0.00000,     0.193799,    0.0466188,     0.156085,    0.0311477,     0.182898,     0.255804,    0.0454116,     0.165538,     0.510279,    0.0297783,     0.175681,     0.818046,   0.00353039,    0.0606067,     0.545263,   0.00326921,    0.0822965,     0.493594
3821,      5.83819,G0VSB,     0.732871,1,      0.00000,     0.204693,    0.0337812,     0.155125,     0.350918,     0.134200,    0.0170491,     0.306901,     0.175601,    0.0675754,     0.314365,     0.217134,     0.175397,    0.0599505,    0.0769107,     0.101950,    0.0617925,     0.103127,     0.162676
96100,      5.77232,K0V,     0.830024,1,      0.00000,     0.257488,    0.0282386,     0.188675,     0.355974,     0.200573,    0.0776814,     0.299168,     0.194724,     0.158923,     0.292269,     0.218543,     0.307135,    0.0552075,    0.0768666,     0.164486,    0.0569133,     0.102863,     0.224933
114046,      3.28711,M2/M3V,      5.65907,1,      0.00000,     0.254638,    0.0185277,     0.186286,     0.264654,     0.209924,     0.129312,     0.223696,     0.192946,     0.189289,     0.205815,     0.213546,     0.334348,    0.0417009,    0.0749746,     0.188243,    0.0436020,     0.100703,     0.262252
105090,      3.97094,M1/M2V,      10.7658,1,      0.00000,     0.260264,    0.0241607,     0.178165,     0.273410,     0.191606,    0.0752389,     0.241226,     0.188631,     0.128324,     0.227395,     0.213964,     0.262106,    0.0450909,    0.0754865,     0.148900,    0.0469429,     0.101405,     0.221655
108870,      3.63895,K5V,      41.2435,1,      0.00000,     0.283676,    0.0360216,     0.187720,     0.300118,     0.204911,    0.0997926,     0.267081,     0.192891,     0.201882,     0.274415,     0.216325,     0.377713,    0.0535611,    0.0763577,     0.213484,    0.0561704,     0.102458,     0.283341
99240,      6.09561,G5IV-Vvar,      2.17188,1,      0.00000,     0.231615,    0.0341113,     0.150049,     0.341144,     0.124693,    0.0142577,     0.303394,     0.172494,    0.0631761,     0.312757,     0.216027,     0.172037,    0.0598564,    0.0767470,     0.100399,    0.0617509,     0.103085,     0.160702
3765,      7.43500,K2V,     0.348517,1,      0.00000,     0.286045,    0.0438165,     0.176568,     0.289971,     0.183862,    0.0558473,     0.248756,     0.188964,     0.109062,     0.233327,     0.214666,     0.230244,    0.0460571,    0.0756310,     0.131698,    0.0477623,     0.101623,     0.193172
12114,      7.23545,K3V,     0.258520,1,      0.00000,     0.296761,    0.0379730,     0.175005,     0.290071,     0.179267,    0.0523026,     0.247844,     0.188426,     0.110934,     0.231524,     0.214671,     0.235116,    0.0457755,    0.0756060,     0.132909,    0.0474764,     0.101579,     0.198108
91768,      3.52176,K5,      1.50178,1,      0.00000,     0.248751,    0.0865392,     0.146413,    0.0681713,     0.159115,    0.0756960,    0.0963088,     0.172843,     0.317155,    0.0832531,     0.192605,     0.613965,    0.0165656,    0.0676463,     0.389234,    0.0177648,    0.0920377,     0.409382
8102,      3.60339,G8V,      146.257,1,      0.00000,     0.305903,    0.0641082,     0.168727,     0.373545,     0.157937,    0.0246075,     0.323944,     0.182117,    0.0723143,     0.328450,     0.216684,     0.185065,    0.0616679,    0.0769434,     0.108690,    0.0630387,     0.103419,     0.179454
24186,      3.93350,M0V,      7.08868,1,      0.00000,     0.262215,     0.121054,     0.142834,    0.0751042,     0.145065,    0.0668800,     0.118223,     0.172516,     0.292220,     0.116768,     0.197689,     0.535492,    0.0243218,    0.0698260,     0.322261,    0.0258252,    0.0947906,     0.364323
7981,      7.60512,K1V,      2.86923,1,      0.00000,     0.313224,    0.0639429,     0.168957,     0.314210,     0.158193,    0.0250718,     0.272746,     0.178368,    0.0527171,     0.263169,     0.214930,     0.135805,    0.0508917,    0.0761819,    0.0866126,    0.0528301,     0.102326,     0.136442
113283,      7.60815,K4Vp,      2.16107,1,      0.00000,     0.300208,    0.0638273,     0.159343,     0.191179,     0.150898,    0.0500212,     0.201483,     0.179941,     0.169290,     0.194624,     0.209734,     0.328943,    0.0400996,    0.0741936,     0.182997,    0.0422128,     0.100028,     0.252683
56452,      9.54355,K0V,     0.446578,1,      0.00000,     0.310019,    0.0912600,     0.162149,     0.237089,     0.156058,    0.0417535,     0.223398,     0.182736,     0.138289,     0.210373,     0.211932,     0.286585,    0.0424798,    0.0748015,     0.157605,    0.0444913,     0.100794,     0.225168
