HIP,RA,Dec,Umag,Bmag,Vmag,Rmag,Imag,Jmag,Hmag,Kmag,M_V,dist (pc),Type,Lstar (Lsun),Angdiam (mas), Mass (Msun), WDS_sep, WDS_dmag, Detection Coronagraph ID,Characterization Coronagraph ID, EEID (mas),nexozodis (zodis),Total BB Imaging Time (days),Total Spec Char Time (days),Total EEC Yield,Total HZ Completeness
439,1.35178,-37.3574,11.074,10.022,8.56,7.589,6.43,5.328,4.732,4.535,10.3699,4.34531,M2V,0.0211745,0.714444,0.3324,          NaN,          NaN,4,4,33.4877,255.793,1.56187,0.920083,0.117634,0.474173
544,1.65327,29.0215,          NaN,6.822,6.07,5.6,5.27,4.733,4.629,4.314,5.37398,13.7786,K0V,0.668409,0.596112,0.891276,192.9,4.19,1,1,59.3357,2.46515,1.96883,0.728297,0.21867,0.88144
910,2.81607,-15.468,5.35,5.377,4.89,          NaN,4.3,3.94,3.68,3.63,3.61487,17.9898,F5V,2.99538,0.746612,1.36814,          NaN,          NaN,1,1,96.2054,1.97908,3.2471,1.02077,0.19136,0.771358
950,2.93337,-35.1331,          NaN,5.699,5.24,          NaN,4.71,4.41,4.159,4.13,3.56291,21.648,F3/F5V,3.1191,0.614388,1.38405,          NaN,          NaN,1,1,81.5825,2.72662,4.07945,1.95087,0.166957,0.672992
1475,4.59536,44.023,10.3,9.65,8.09,7.3,5.61,5.25,4.48,4.02,10.3311,3.56265,M1V,0.0397541,1.14448,0.397945,34.3,3.05,4,4,55.9652,264.381,3.03071,0.227637,0.217655,0.877351
1599,5.01775,-64.8748,4.82,4.806,4.23,3.73,3.58,3.19,2.88,2.83,4.57404,8.53476,F9V,1.28056,1.12392,1.07321,          NaN,          NaN,2,1,132.589,1.25115,1.72726,0.126373,0.245506,0.989616
2021,6.4378,-77.2542,3.52,3.438,2.82,2.28,2.14,1.72,1.4,1.34,3.45666,7.45879,G2IV,3.6453,2.2606,1.44709,          NaN,          NaN,3,2,255.975,1.11589,0.966539,0.0566919,0.179267,0.72261
3093,9.84086,21.2505,7.29,6.73,5.88,5.21,5.05,4.47,4.03,3.999,5.64612,11.1372,K0V,0.560743,0.741515,0.847653,172,5.51,1,1,67.2366,4.45846,1.95963,0.466359,0.231488,0.933108
3497,11.1636,-65.6495,7.31,7.205,6.55,          NaN,5.83,5.366,5.101,4.945,4.83494,22.0298,G3V,1.03204,0.423986,1.00905,          NaN,          NaN,1,1,46.1145,0.556068,1.72639,1.43536,0.095253,0.383957
3505,11.185,-22.0061,          NaN,5.57,5.22,          NaN,4.8,4.334,4.469,4.359,3.04339,27.2472,F0V,4.89513,0.539759,1.57426,          NaN,          NaN,1,1,81.2008,0.123055,3.37691,1.25698,0.13264,0.53466
3583,11.44,-47.552,          NaN,6.435,5.8,          NaN,5.08,4.666,4.155,4.298,4.92042,14.9939,G5IV,0.950055,0.584763,0.985468,16.6,7.64,1,1,65.007,6.0637,2.55395,1.22966,0.19819,0.798889
3765,12.0957,5.28061,7.22,6.63,5.74,4.99,4.77,4.37,3.72,3.61,6.38359,7.435,K2V,0.291211,0.837401,0.702937,2.7,          NaN,1,1,72.581,0.348517,1.10307,0.0647302,0.247264,0.996702
3810,12.2446,16.9406,          NaN,5.571,5.07,4.8,4.5,4.433,4.152,4.182,3.23971,23.2305,F8V...,4.25197,0.698787,1.51216,85.6,7.78,1,1,88.7639,2.85995,3.87008,1.7976,0.131085,0.528393
