x	y
1.281	9.545e-9
1.610	5.847e-9
1.823	4.107e-9
2.014	2.768e-9
2.242	1.863e-9
2.476	1.258e-9
2.631	8.426e-10
2.839	5.701e-10
3.054	3.889e-10
3.455	2.631e-10
3.763	1.771e-10
4.043	1.208e-10
4.597	1.591e-10
5.010	1.429e-10
5.410	8.697e-11
5.732	5.925e-11
6.154	3.843e-11
6.771	5.432e-11
7.188	5.148e-11
7.531	3.520e-11
8.126	2.186e-11
8.324	2.072e-11
8.783	2.371e-11
9.132	2.792e-11
9.490	2.440e-11
9.945	1.844e-11
10.819	1.951e-11
11.417	2.122e-11
11.847	1.914e-11
12.708	1.878e-11
13.945	1.874e-11
14.878	2.019e-11
16.103	2.180e-11
16.563	2.090e-11
17.394	2.534e-11
17.757	2.395e-11
18.404	2.784e-11
19.373	3.384e-11
19.930	3.607e-11
20.465	5.118e-11
20.641	7.377e-11
20.874	1.096e-10
20.948	1.729e-10
21.003	2.628e-10
21.071	3.652e-10
21.118	5.445e-10
21.150	8.063e-10
21.199	1.226e-9
21.457	8.920e-9
