% HIP, distance, type for stars with candidate exoEarths from 2-year LUVOIR-A survey
22449,      8.06842,F6V
8102,      3.65017,G8V
57757,      10.9290,F8V
12114,      7.18030,K3V
14632,      10.5407,G0V
14632,      10.5407,G0V
116771,      13.7137,F7V
61317,      8.43953,G0V
84720,      8.80204,M0V
71284,      15.8328,F3Vwvar
32984,      8.71004,K3V
77760,      15.8932,F9V
76829,      17.4368,F5IV-V
23693,      11.6455,F7V
85523,      4.54050,K5
42808,      11.1832,K2V
57939,      9.09174,G8Vp
99461,      6.01504,K2V
47592,      15.0128,G0V
3093,      11.0595,K0V
91772,      3.49174,K5
5862,      15.1149,F8V
113283,      7.60919,K4Vp
47080,      11.3688,G8IV-V
40693,      12.4938,K0V
85523,      4.54050,K5
22263,      13.2767,G3V
82588,      16.7364,G8V
56997,      9.61169,G8Vvar
42808,      11.1832,K2V
57507,      17.7620,G5V
69972,      11.8217,K3V
109422,      18.2782,F6V
43726,      17.3853,G3V
98959,      17.9115,G2V
116085,      16.8719,K2V
40843,      18.2715,F6V
26394,      18.2349,G3IV
96895,      21.2857,G2V
15371,      12.0322,G1V
25110,      20.8855,F6V
12653,      17.3671,G3IV
86620,      22.8781,G0V
80337,      12.7779,G3/G5V
86796,      15.5111,G5V
51502,      21.5008,F2V
48113,      18.3688,G2V
3909,      15.7530,F7IV-V
19335,      21.2585,F7V
95447,      15.1768,G8IVvar
98959,      17.9115,G2V
43726,      17.3853,G3V
84862,      14.3266,G0V
77358,      15.2509,G6IV
78459,      17.2354,G2V
36439,      20.2388,F6V
32439,      17.8731,F8V
18859,      18.8324,F5V
