% HIP, distance, type for stars with candidate exoEarths from 2-year LUVOIR-B survey
1475,      3.56201,M1V
96100,      5.76037,K0V
73184,      5.84044,K4V
64924,      8.55505,G5V
56452,      9.56114,K0V
10644,      10.7840,G0V
45343,      5.81125,M0V
85295,      7.73635,K7V
58345,      10.2218,K4V
10138,      11.2524,K0V
12777,      11.1272,F7V
99701,      6.16371,M0V
59199,      14.9365,F0IV/V
43587,      12.3411,G8V
22263,      13.2767,G3V
77257,      12.1242,G0Vvar
91772,      3.49174,K5
98767,      16.0308,G6IV+...
36366,      18.0473,F0V...
76829,      17.4368,F5IV-V
95447,      15.1768,G8IVvar
10798,      12.6695,G8V
5862,      15.1149,F8V
86796,      15.5111,G5V
88694,      17.5531,G3V
45333,      19.5695,F9V
110649,      20.5634,F9V
544,      13.7684,K0V
77801,      17.7620,G0IV
